                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 2.4548,                 2.7066,                 2.9991,                0.82436,                0.04891,                0.04905,                0.01196,                 2.6195,                 4.0768,                 3.9338,             0.00034663,             0.00034663,             0.00034663
                     76,                 2.5195,                 2.6385,                 2.9524,                0.81161,                0.04891,                0.05067,                0.01205,                 2.6259,                 4.0126,                 3.9065,             0.00033425,             0.00033425,             0.00033425
                     77,                 2.4277,                 2.5744,                 3.0105,                0.81161,                0.04891,                0.05067,                0.01205,                 2.6259,                 4.0126,                 3.9065,             0.00032188,             0.00032188,             0.00032188
                     78,                  2.384,                 2.4475,                 2.8513,                0.80731,                0.04891,                0.03807,                0.00823,                 2.6273,                  3.976,                 3.8972,              0.0003095,              0.0003095,              0.0003095
                     79,                 2.4803,                 2.6322,                 3.0718,                0.80731,                0.04891,                0.03807,                0.00823,                 2.6273,                  3.976,                 3.8972,             0.00029713,             0.00029713,             0.00029713
                     80,                 2.5135,                 2.6638,                  3.017,                0.80523,                0.04348,                0.03656,                0.00796,                 2.6175,                 3.9048,                 3.8699,             0.00028475,             0.00028475,             0.00028475
                     81,                 2.4957,                 2.5667,                 2.9708,                0.80523,                0.04348,                0.03656,                0.00796,                 2.6175,                 3.9048,                 3.8699,             0.00027237,             0.00027237,             0.00027237
                     82,                 2.4876,                 2.5938,                 2.8986,                 0.8145,                0.03804,                0.04224,                0.00915,                 2.6015,                 3.8204,                 3.8312,                0.00026,                0.00026,                0.00026
                     83,                 2.6322,                 2.6251,                 3.0849,                 0.8145,                0.03804,                0.04224,                0.00915,                 2.6015,                 3.8204,                 3.8312,             0.00024762,             0.00024762,             0.00024762
                     84,                 2.4655,                 2.6586,                 3.0226,                0.82223,                0.04348,                0.07115,                0.01776,                 2.5154,                 3.6642,                 3.6912,             0.00023525,             0.00023525,             0.00023525
                     85,                 2.4674,                 2.4524,                 2.8783,                0.82223,                0.04348,                0.07115,                0.01776,                 2.5154,                 3.6642,                 3.6912,             0.00022288,             0.00022288,             0.00022288
                     86,                 2.2814,                 2.4776,                 2.8723,                0.53534,                0.10326,                0.08225,                0.02419,                 2.4589,                 3.5111,                 3.5766,              0.0002105,              0.0002105,              0.0002105
                     87,                 2.4663,                 2.5066,                 2.8919,                0.53534,                0.10326,                0.08225,                0.02419,                 2.4589,                 3.5111,                 3.5766,             0.00019813,             0.00019813,             0.00019813
                     88,                 2.3609,                 2.4485,                  2.858,                0.66081,                0.13017,                0.09597,                0.03271,                 2.3934,                 3.3647,                 3.4827,             0.00018575,             0.00018575,             0.00018575
                     89,                  2.361,                 2.4695,                 2.8872,                0.66081,                0.13017,                0.09597,                0.03271,                 2.3934,                 3.3647,                 3.4827,             0.00017338,             0.00017338,             0.00017338
                     90,                   2.41,                 2.4877,                 2.9721,                0.65765,                0.13843,                0.12968,                0.05791,                 2.3476,                 3.2491,                 3.4202,               0.000161,               0.000161,               0.000161
                     91,                 2.1909,                  2.641,                 2.8615,                0.65765,                0.13843,                0.12968,                0.05791,                 2.3476,                 3.2491,                 3.4202,             0.00014862,             0.00014862,             0.00014862
                     92,                 2.1428,                 2.7494,                 2.7854,                0.70743,                0.16866,                0.16575,                0.07713,                  2.296,                 3.1532,                 3.3663,             0.00013625,             0.00013625,             0.00013625
                     93,                 2.1398,                 2.6092,                  2.829,                0.70743,                0.16866,                0.16575,                0.07713,                  2.296,                 3.1532,                 3.3663,             0.00012387,             0.00012387,             0.00012387
                     94,                 2.0872,                 2.7396,                 2.7269,                0.70555,                0.17391,                0.17725,                0.08137,                 2.2689,                 3.0987,                 3.3373,              0.0001115,              0.0001115,              0.0001115
                     95,                 2.0452,                 2.5806,                 2.7385,                0.70555,                0.17391,                0.17725,                0.08137,                 2.2689,                 3.0987,                 3.3373,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 2.1171,                 2.6448,                 2.8905,                0.68861,                 0.1721,                0.19994,                0.08624,                 2.2482,                  3.054,                 3.3131,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 2.1248,                 2.5877,                 2.8178,                0.68861,                 0.1721,                0.19994,                0.08624,                 2.2482,                  3.054,                 3.3131,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                 2.0752,                 2.5741,                 2.7902,                0.69603,                0.19022,                0.22696,                0.09714,                 2.2264,                 2.9716,                 3.2691,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 2.0646,                 2.4802,                 2.7603,                0.69603,                0.19022,                0.22696,                0.09714,                 2.2264,                 2.9716,                 3.2691,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 2.0572,                 2.6049,                 2.8131,                0.63818,                0.22625,                0.24973,                0.10659,                 2.1995,                 2.8884,                 3.2171,              3.725e-05,              3.725e-05,              3.725e-05
